,Subject,Start Date,End Date,Start Time,End Time,All Day Event,Location
0,B2 vs. A3,09/10/2022,09/10/2022,00:00,00:00,True,"Mercedes-Benz Arena,  Berlin"
1,A1 vs. B4,09/10/2022,09/10/2022,00:00,00:00,True,"Mercedes-Benz Arena,  Berlin"
2,B1 vs. A4,09/10/2022,09/10/2022,00:00,00:00,True,"Mercedes-Benz Arena,  Berlin"
3,A2 vs. B3,09/10/2022,09/10/2022,00:00,00:00,True,"Mercedes-Benz Arena,  Berlin"
4,C1 vs. D4,09/11/2022,09/11/2022,00:00,00:00,True,"Mercedes-Benz Arena,  Berlin"
5,D2 vs. C3,09/11/2022,09/11/2022,00:00,00:00,True,"Mercedes-Benz Arena,  Berlin"
6,C2 vs. D3,09/11/2022,09/11/2022,00:00,00:00,True,"Mercedes-Benz Arena,  Berlin"
7,D1 vs. C4,09/11/2022,09/11/2022,00:00,00:00,True,"Mercedes-Benz Arena,  Berlin"
8,WPO1 vs. WPO2,09/13/2022,09/13/2022,00:00,00:00,True,"Mercedes-Benz Arena,  Berlin"
9,WPO3 vs. WPO4,09/13/2022,09/13/2022,00:00,00:00,True,"Mercedes-Benz Arena,  Berlin"
10,WPO5 vs. WPO6,09/14/2022,09/14/2022,00:00,00:00,True,"Mercedes-Benz Arena,  Berlin"
11,WPO7 vs. WPO8,09/14/2022,09/14/2022,00:00,00:00,True,"Mercedes-Benz Arena,  Berlin"
12,WQF1 vs. WQF2,09/16/2022,09/16/2022,00:00,00:00,True,"Mercedes-Benz Arena,  Berlin"
13,WQF3 vs. WQF4,09/16/2022,09/16/2022,00:00,00:00,True,"Mercedes-Benz Arena,  Berlin"
14,LSF1 vs. LSF2,09/18/2022,09/18/2022,00:00,00:00,True,"Mercedes-Benz Arena,  Berlin"
15,WSF1 vs. WSF2,09/18/2022,09/18/2022,00:00,00:00,True,"Mercedes-Benz Arena,  Berlin"
